,artist,gender,retrieved,genre
11321,Carolyne Mas,female,https://en.wikipedia.org/wiki/Carolyne_Mas,"['rock', 'alternative', 'pop rock']"
11322,Ryan ODonnell,male,none,none
11323,Thomas Otten,male,https://en.wikipedia.org/wiki/Thomas_Otten,"['new-age', 'classical crossover']"
11324,Sara Carlson,female,none,none
11325,S. Epatha Merkerson,female,none,none
11326,Al Di Meola,male,https://en.wikipedia.org/wiki/Al_Di_Meola,"['jazz', 'jazz fusion', 'world music', 'world fusion']"
11327,Niykee Heaton,female,https://en.wikipedia.org/wiki/Niykee_Heaton,"['pop rock', 'alternative r&b']"
11328,Jon Davison,male,https://en.wikipedia.org/wiki/Jon_Davison,"['progressive rock', 'psychedelic rock', 'symphonic rock']"
11329,Alicia Moffet,female,https://en.wikipedia.org/wiki/Alicia_Moffet,['pop']
11330,Peter Wolbrandt,male,none,none
11331,Annisteen Allen,female,https://en.wikipedia.org/wiki/Annisteen_Allen,"['blues', 'jazz']"
11332,Betty Roché,female,https://en.wikipedia.org/wiki/Betty_Roché,"['jazz', 'blues']"
11333,Jay Mya,male,https://en.wikipedia.org/wiki/Jay_Mya,"['r&b', ' dance pop']"
11334,Emily Luther,female,none,none
11335,Tanya Falan Welk-Roberts,female,none,none
11336,Lefty Dizz,male,https://en.wikipedia.org/wiki/Lefty_Dizz,"['chicago blues', 'electric blues']"
11337,Jeremy Chatelain,male,none,none
11338,Nick Cave,male,https://en.wikipedia.org/wiki/Nick_Cave,"['post-punk', 'gothic rock', 'alternative rock', 'experimental rock', 'garage rock']"
11339,June Tyson,female,none,none
11340,Jean Dinning,female,none,none
11341,Jinx Titanic,male,https://en.wikipedia.org/wiki/Jinx_Titanic,"['punk rock', 'rockabilly', 'pop rock', 'alternative rock', 'incidental music', 'theater music']"
11342,Bernie Leadon,male,https://en.wikipedia.org/wiki/Bernie_Leadon,"['rock', 'country rock', 'bluegrass']"
11343,Michelle Pfeiffer,female,none,none
11344,Lorraine Segato,female,none,none
11345,Lill Lindfors,female,https://en.wikipedia.org/wiki/Lill_Lindfors,"['jazz', 'schlager', 'folk']"
11346,Konstantin Nikolsky,male,none,none
11347,Charles Allen Waller,male,none,none
11348,Les Vandyke,male,https://en.wikipedia.org/wiki/Les_Vandyke,['popular music']
11349,Anisa Angarola,female,none,none
11350,Luiz Brasil,male,none,none
11351,Chris Blue,male,https://en.wikipedia.org/wiki/Chris_Blue,"['r&b', 'soul', 'gospel', 'pop']"
11352,Kofi,female,https://en.wikipedia.org/wiki/Kofi_(musician),"['lovers rock', 'reggae', ' soul', 'r&b']"
11353,Nicola Roberts,female,https://en.wikipedia.org/wiki/Nicola_Roberts,"['pop', 'dance-pop', 'synth-pop']"
11354,Richie Hayward,male,https://en.wikipedia.org/wiki/Richie_Hayward,"['rock', 'blues', 'southern rock', 'funk', 'cajun music', 'americana', 'swamp rock']"
11355,Shirley Clamp,female,https://en.wikipedia.org/wiki/Shirley_Clamp,"['pop', 'schlager']"
11356,Dice Raw,male,https://en.wikipedia.org/wiki/Dice_Raw,['hip hop']
11357,Chris Morris,male,none,none
11358,Maria Rådsten,female,https://en.wikipedia.org/wiki/Maria_Rådsten,['ethnopop']
