,artist,gender,retrieved,genre
1377,Kay Adams,female,https://en.wikipedia.org/wiki/Kay_Adams_(singer),['Country music']
1378,Justine Frischmann,female,https://en.wikipedia.org/wiki/Justine_Frischmann,"['Alternative rock', 'Britpop']"
1379,Electrelane,female,https://en.wikipedia.org/wiki/Electrelane,"['Post-rock', 'Alternative rock', 'Electronic music', 'Experimental rock']"
1380,Leslie Satcher,female,https://en.wikipedia.org/wiki/Leslie_Satcher,"['Country music', 'Bluegrass music']"
1381,Sunny Sweeney,female,https://en.wikipedia.org/wiki/Sunny_Sweeney,['Country music']
1382,Lisa Heller,female,https://en.wikipedia.org/wiki/Lisa_Heller,"['Pop music', 'Singer/songwriter']"
1383,"Chocolate, Menta, Mastik",female,none,none
1384,Mindless Self Indulgence,female,https://en.wikipedia.org/wiki/Mindless_Self_Indulgence,"['Electropunk', 'Industrial rock', 'Electronic rock', 'Hip hop music', 'New wave music', 'Comedy rock']"
1385,Stevie Nicks,female,https://en.wikipedia.org/wiki/Stevie_Nicks,['Rock music']
1386,Tasmin Archer,female,https://en.wikipedia.org/wiki/Tasmin_Archer,"['Pop music', 'Rock music']"
1387,Ash,female,https://en.wikipedia.org/wiki/Ash_(band),"['Alternative rock', 'Power pop', 'Pop punk', 'Indie rock', 'Britpop']"
1388,Sissy Spacek,female,https://en.wikipedia.org/wiki/Sissy_Spacek_(band),['Noise music']
1389,The Bodysnatchers,female,https://en.wikipedia.org/wiki/The_Bodysnatchers_(band),"['2 Tone (music genre)', 'Ska', 'Rocksteady']"
1390,Renaissance,female,https://en.wikipedia.org/wiki/Renaissance_(band),['Progressive rock']
1391,The Escorts,female,none,none
1392,Jack Off Jill,female,https://en.wikipedia.org/wiki/Jack_Off_Jill,"['Alternative rock', 'Riot grrrl', 'Gothic rock', 'Punk rock']"
1393,Lesbians On Ecstasy,female,https://en.wikipedia.org/wiki/Lesbians_On_Ecstasy,"['Electroclash', 'Electropunk', 'Queercore']"
1394,Terri Nunn,female,https://en.wikipedia.org/wiki/Terri_Nunn,"['Rock music', 'New wave music', 'Industrial rock', 'Post-punk', 'Electronic dance music', 'Synthpop']"
1395,KatieJane Garside,female,https://en.wikipedia.org/wiki/KatieJane_Garside,"['Alternative rock', 'Noise rock', 'Blues rock', 'Alternative metal']"
1396,Laura Hubert,female,https://en.wikipedia.org/wiki/Laura_Hubert,"['Alternative rock', 'Jazz']"
1397,Lee Ann Womack,female,https://en.wikipedia.org/wiki/Lee_Ann_Womack,"['Neotraditionalist country', 'Country pop', 'Americana (music)']"
1398,Barbara Fairchild,female,https://en.wikipedia.org/wiki/Barbara_Fairchild,"['Country music', 'Gospel Music']"
1399,Stephanie Davis,female,https://en.wikipedia.org/wiki/Stephanie_Davis_(singer),['Country music']
1400,Meg Frampton,female,https://en.wikipedia.org/wiki/Meg_Frampton,"['Indie rock', 'Pop music', 'Alternative rock', 'Folk rock', 'Pop rock']"
1401,Sook-Yin Lee,female,none,none
1402,Sunday Sharpe,female,https://en.wikipedia.org/wiki/Sunday_Sharpe,[]
1403,Molly O'Day,female,https://en.wikipedia.org/wiki/Molly_O'Day_(singer),['Country music']
1404,Amy Dalley,female,https://en.wikipedia.org/wiki/Amy_Dalley,['Country music']
1405,Crystal Gayle,female,https://en.wikipedia.org/wiki/Crystal_Gayle,"['Country music', 'Country pop', 'Folk music', 'Gospel music', 'Jazz music']"
1406,Natalia Jiménez,female,https://en.wikipedia.org/wiki/Natalia_Jiménez,"['Pop music', 'Latin pop', 'Rock music', 'Mariachi']"
1407,Tru Fax and the Insaniacs,female,none,none
