artist,retrieved,gender,genre
Rose Chronicles,Rose Chronicles,female,vancouver indie
Marnie Stern,Marnie Stern,female,noise rock
Tanita Tikaram,Tanita Tikaram,female,new wave pop
Babes in Toyland,Babes In Toyland ,female,"grunge, minneapolis punk, riot grrrl"
Lesley Gore,Lesley Gore,female,"adult standards, brill building pop, bubblegum pop, classic girl group, folk rock, rock-and-roll"
Stina Nordenstam,Stina Nordenstam,female,"etherpop, melancholia, slow core, swedish indie pop, swedish singer-songwriter"
Liz Phair,Liz Phair,female,"alternative pop, alternative rock, candy pop, folk, lilith, new wave pop, permanent wave, pop rock"
Santi White,Santigold,female,"alternative dance, art pop, electropop, escape room, indie pop, indietronica, new rave"
Texas,Little Texas,female,"country, country road, country rock"
Sharon Den Adel,Sharon Den Adel,female,"gothic metal, gothic symphonic metal, symphonic metal"
The Cranberries,The Cranberries,female,"irish rock, pop rock"
Melissa Ferrick,Melissa Ferrick,female,"ectofolk, folk, lilith, new wave pop"
Lucinda Williams,Lucinda Williams,female,"alternative country, anti-folk, country rock, folk, folk rock, heartland rock, indie folk, lilith, mellow gold, new americana, outlaw country, roots rock, singer-songwriter, traditional folk"
Amy Millan,Amy Millan,female,toronto indie
Christian Death,Christian Death,female,"dark post-punk, dark wave, deathrock, ethereal wave, gothic rock, industrial, industrial rock"
Debbie Gibson,Debbie Gibson,female,"new wave pop, pop rock, soft rock"
Tribe,A Tribe Called Quest,female,"alternative hip hop, conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, jazz rap, queens hip hop, rap"
Jefferson Starship,Jefferson Starship,female,"album rock, art rock, classic rock, folk rock, hard rock, mellow gold, rock, soft rock, symphonic rock"
Alanis Morissette,Alanis Morissette,female,"alternative rock, canadian pop, canadian singer-songwriter, pop rock, singer-songwriter"
'Til Tuesday,'Til Tuesday,female,"boston rock, dance rock, new romantic, new wave, new wave pop"
Olivia,Olivia O'Brien,female,"dance pop, pop, post-teen pop"
The United States of America,The Presidents Of The United States Of America,female,"alternative metal, alternative rock, garage rock, grunge, pop rock, post-grunge, rock"
Miho Hatori,Miho Hatori,female,shibuya-kei
Delerium,Delerium,female,trance
Ella Hooper,Ella Hooper,female,australian alternative pop
The White Stripes,The White Stripes,female,"alternative rock, blues rock, garage rock, modern blues rock, modern rock, permanent wave, punk blues, rock"
Kim Gordon,Kim Gordon,female,"art pop, chamber psych, experimental pop, freak folk"
Letters to Cleo,Letters To Cleo,female,"alternative pop, boston rock, candy pop, lilith, pop rock"
Kirsty MacColl,Kirsty MacColl,female,new wave pop
Penetration,Penetration,female,"pub rock, punk"
Velocity Girl,Velocity Girl,female,"alternative pop, c86, dream pop, twee pop"
Jaurim,Jaurim,female,"k-indie, k-rock, korean pop"
X-Ray Spex,X-Ray Spex,female,"dance rock, post-punk, pub rock, punk, riot grrrl"
Stars,STARSET,female,"alternative metal, future rock, post-grunge"
Autoclave,Autoclave,female,riot grrrl
Helium,Helium,female,"alternative pop, boston rock, gbvfi, riot grrrl"
Arcade Fire,Arcade Fire,female,"alternative dance, alternative rock, baroque pop, canadian indie, chamber pop, dance-punk, garage rock, indie pop, indie rock, indietronica, modern rock, new rave, permanent wave, quebec indie, rock"
Laura Imbruglia,Laura Imbruglia,female,melbourne indie
Paramore,Paramore,female,"candy pop, emo, pixie, pop emo, pop punk"
Wendy & Lisa,Wendy & Lisa,female,"minneapolis sound, new wave pop"
Altered Images,Altered Images,female,"dance rock, new romantic, new wave, new wave pop, scottish new wave, synthpop"
Bob's Your Uncle,Bob's Your Uncle,female,"blues-rock guitar, vancouver indie"
Courtney Love,Courtney Love,female,alternative rock
Anneke van Giersbergen,Anneke Van Giersbergen,female,"gothic symphonic metal, symphonic metal"
Vice Squad,Vice Squad,female,oi
Irma Thomas,Irma Thomas,female,"brill building pop, classic soul, funk, louisiana blues, new orleans blues, rhythm and blues, soul, southern soul"
Everything but the Girl,Everything But The Girl,female,"art pop, dance rock, electronica, new romantic, new wave pop, pop rock, trip hop"
Ella,Ella Mai,female,"pop, pop rap, post-teen pop, r&b, rap, uk contemporary r&b, urban contemporary"
Black Box Recorder,Black Box Recorder,female,britpop
Whale,Noah And The Whale,female,"indie pop, stomp and holler"
Kim Wilde,Kim Wilde,female,"dance pop, dance rock, europop, new romantic, new wave, new wave pop, soft rock"
Martha Johnson,Martha Johnson,female,"""canadian childrens music"""
Lene Lovich,Lene Lovich,female,"dance rock, gothic rock, new wave, new wave pop, zolo"
Janis Joplin,Janis Joplin,female,"blues rock, classic rock, folk rock, psychedelic rock, rock"
Marilina Bertoldi,Marilina Bertoldi,female,"argentine alternative rock, argentine indie"
Katy Perry,Katy Perry,female,"dance pop, pop, post-teen pop"
Grace Jones,Grace Jones,female,"art pop, art rock, dance pop, dance rock, disco, electronica, new romantic, new wave, new wave pop"
Team Dresch,Team Dresch,female,"indie punk, olympia wa indie, queercore, riot grrrl"
Alice Bag,Alice Bag,female,chicano punk
Frou Frou,Frou Frou,female,"downtempo, etherpop, lilith, metropopolis"
Amber,Amber Run,female,"indie anthem-folk, indie folk, indie pop, modern alternative rock, modern rock"
Imogen Heap,Imogen Heap,female,"etherpop, lilith, metropopolis"
Patti Smith,Patti Smith,female,"art pop, art punk, art rock, dance rock, folk rock, permanent wave, protopunk, rock"
Rainey,Stephanie Rainey,female,irish singer-songwriter
Deaf School,Deaf School,female,zolo
Now It's Overhead,Now It's Overhead,female,athens indie
Holly and the Italians,Holly & The Italians,female,"jangle pop, power-pop punk"
Nanase Aikawa,Nanase Aikawa,female,"j-pixie, j-pop"
Hazel O'Connor,Hazel O'Connor,female,"dance rock, new romantic, new wave pop"
