Id,Label,timeset,frequency,type,modularity_class,pageranks,eigencentrality
John_Robb,John_Robb,,2,Source,90,0.000027,0.001818
Brendan_James,Brendan_James,,3,Source,9,0.000037,0.005479
Andrew_Horowitz,Andrew_Horowitz,,2,Source,149,0.000031,0.006751
Trey_Anastasio,Trey_Anastasio,,9,Source,149,0.000092,0.020994
Bizarre,Bizarre,,3,Source,90,0.000033,0.004897
Mashonda,Mashonda,,1,Source,62,0.000019,0.007889
Keith_Palmer,Keith_Palmer,,1,Source,143,0.000023,0.006931
Paul_Cotton,Paul_Cotton,,4,Source,143,0.000052,0.028585
Ronald_Isley,Ronald_Isley,,2,Source,62,0.000028,0.012965
Jessica_Dobson,Jessica_Dobson,,1,Source,149,0.000019,0.002045
Jack_McManus,Jack_McManus,,2,Source,9,0.000029,0.015437
Tony_Friel,Tony_Friel,,4,Source,149,0.000043,0.004498
Jeffrey_Steele,Jeffrey_Steele,,1,Source,143,0.000023,0.006931
Teddy_Geiger,Teddy_Geiger,,2,Source,149,0.000027,0.006732
Bessie_Cursons,Bessie_Cursons,,1,Source,62,0.00002,0.000347
Earl_Falconer,Earl_Falconer,,3,Source,84,0.000037,0.013496
Brian_Jones,Brian_Jones,,4,Source,9,0.000047,0.014925
british_soul,british_soul,,5,; Target,10,0.00006,0.001176
Mille_Petrozza,Mille_Petrozza,,2,Source,31,0.000026,0.00248
Craig_Powell,Craig_Powell,,1,Source,62,0.00002,0.012594
TL_Forsberg,TL_Forsberg,,2,Source,149,0.000019,0.000173
Che'Nelle,Che'Nelle,,5,Source,84,0.000059,0.015053
Percee_P,Percee_P,,1,Source,90,0.000022,0.004706
Guy_Chadwick,Guy_Chadwick,,1,Source,149,0.000018,0.003889
Roy_Hogsed,Roy_Hogsed,,1,Source,143,0.000023,0.006931
Ella_Leya,Ella_Leya,,4,Source,50,0.00005,0.018205
Mac_Arnold,Mac_Arnold,,1,Source,47,0.000019,0.003835
Inara_George,Inara_George,,6,Source,149,0.000069,0.025705
Havoc,Havoc,,1,Source,90,0.000022,0.004706
Roxi_Copland,Roxi_Copland,,3,Source,10,0.000039,0.009266
Morton_Harvey,Morton_Harvey,,2,Source,10,0.00003,0.003992
Paige_Lewis,Paige_Lewis,,3,Source,149,0.000038,0.013453
Leslie,Leslie,,4,Source,62,0.000037,0.009617
Brooke_Miller,Brooke_Miller,,1,Source,149,0.000018,0.000314
Natasha_Hamilton,Natasha_Hamilton,,2,Source,62,0.000029,0.020482
Charlie_Dore,Charlie_Dore,,2,Source,10,0.00003,0.01714
Rocko,Rocko,,1,Source,90,0.000022,0.004706
T_La_Rock,T_La_Rock,,1,Source,90,0.000022,0.004706
Bryana_Salaz,Bryana_Salaz,,1,Source,62,0.00002,0.012594
Larry_Johnson,Larry_Johnson,,1,Source,47,0.000019,0.003835
Pal_Rakes,Pal_Rakes,,1,Source,143,0.000023,0.006931
Rod_Hart,Rod_Hart,,1,Source,143,0.000023,0.006931
Pat_Briggs,Pat_Briggs,,1,Source,31,0.000018,0.000268
Tom_Fogerty,Tom_Fogerty,,7,Source,143,0.000073,0.012919
Darren_Hanlon,Darren_Hanlon,,3,Source,149,0.000037,0.002226
Andre_Ethier,Andre_Ethier,,1,Source,149,0.000019,0.002045
electronic,electronic,,281,; Target,62,0.002833,0.062
Danny_Fernandes,Danny_Fernandes,,2,Source,62,0.000029,0.020482
Buzz_Busby,Buzz_Busby,,1,Source,143,0.00002,0.000736
Keith_Buckley,Keith_Buckley,,5,Source,31,0.000051,0.006148
Micachu,Micachu,,5,Source,149,0.000056,0.001109
Fontaine,Fontaine,,3,Source,10,0.000037,0.002627
Krzysztof_Zalewski,Krzysztof_Zalewski,,1,Source,9,0.000019,0.002843
Kembra_Pfahler,Kembra_Pfahler,,3,Source,31,0.000035,0.002154
Shy_Girls,Shy_Girls,,1,Source,62,0.000019,0.000272
Pee_Wee,Pee_Wee,,4,Source,50,0.00005,0.000831
Kurt_Brecht,Kurt_Brecht,,3,Source,31,0.000034,0.001332
Nathalie_Cardone,Nathalie_Cardone,,1,Source,62,0.00002,0.012594
Tony_M.,Tony_M.,,8,Source,149,0.000087,0.041949
Gene_Autry,Gene_Autry,,2,Source,143,0.000033,0.007147
Tommy_Thayer,Tommy_Thayer,,1,Source,9,0.000019,0.002843
Little_Miss_Cornshucks,Little_Miss_Cornshucks,,2,Source,47,0.000029,0.012085
Robert_Earl_Keen,Robert_Earl_Keen,,3,Source,143,0.000042,0.008901
Sister_Rosetta_Tharpe,Sister_Rosetta_Tharpe,,4,Source,62,0.000049,0.017644
Pearl_Butler,Pearl_Butler,,1,Source,143,0.000023,0.006931
Happy_Rhodes,Happy_Rhodes,,4,Source,31,0.000044,0.008059
Barry_St._John,Barry_St._John,,2,Source,62,0.000029,0.020482
Marq_Torien,Marq_Torien,,3,Source,31,0.000034,0.00511
Veronica_Ballestrini,Veronica_Ballestrini,,2,Source,62,0.000033,0.019525
Isaac_Hayes,Isaac_Hayes,,3,Source,62,0.000035,0.00752
Alex_Torres,Alex_Torres,,5,Source,149,0.000049,0.005234
Kavana,Kavana,,2,Source,62,0.00003,0.01279
Stephen_Coronel,Stephen_Coronel,,1,Source,31,0.000018,0.002672
Tad_Robinson,Tad_Robinson,,1,Source,47,0.000019,0.003835
Rachel_Paiement,Rachel_Paiement,,1,Source,10,0.00002,0.004547
Sarah_Harmer,Sarah_Harmer,,3,Source,10,0.00004,0.0254
Mo_Adeniran,Mo_Adeniran,,2,Source,62,0.000028,0.012965
Mark_Mothersbaugh,Mark_Mothersbaugh,,10,Source,149,0.000085,0.00603
Alice_Svensson,Alice_Svensson,,3,Source,62,0.000039,0.02593
Shannon_Wright,Shannon_Wright,,3,Source,149,0.000035,0.003129
Norton_Buffalo,Norton_Buffalo,,3,Source,31,0.000036,0.010558
Monica,Monica,,3,Source,62,0.00004,0.012844
Larry_McCray,Larry_McCray,,1,Source,47,0.000019,0.003835
Dave_Evans,Dave_Evans,,2,Source,31,0.000028,0.010932
Henry_Qualls,Henry_Qualls,,2,Source,47,0.000033,0.000683
contemporary,contemporary,,117,; Target,62,0.001287,0.029848
Kat_Perkins,Kat_Perkins,,4,Source,47,0.000053,0.031619
River_Matthews,River_Matthews,,5,Source,10,0.000058,0.014724
Cyrus_Villanueva,Cyrus_Villanueva,,1,Source,62,0.00002,0.012594
Selena_Gomez,Selena_Gomez,,3,Source,62,0.000038,0.014141
John_Ford_Coley,John_Ford_Coley,,4,Source,9,0.000051,0.015197
Jimmy_Liggins,Jimmy_Liggins,,2,Source,47,0.000029,0.008115
Douglas_Lucas,Douglas_Lucas,,2,Source,62,0.000033,0.007141
Sonny_Bono,Sonny_Bono,,2,Source,10,0.00003,0.020854
Luthea_Salom,Luthea_Salom,,2,Source,10,0.000028,0.001576
Michel_Delpech,Michel_Delpech,,1,Source,62,0.00002,0.012594
Emma_Ejwertz,Emma_Ejwertz,,3,Source,62,0.000038,0.021701
Anomie_Belle,Anomie_Belle,,7,Source,149,0.000061,0.003273
